hour,scenario,value
1,1,94.520614
1,2,94.520614
1,3,94.520614
1,4,94.520614
1,5,83.951124
1,6,87.072694
2,1,94.520614
2,2,94.520614
2,3,94.520614
2,4,94.520614
2,5,71.199020
2,6,76.229756
3,1,94.520614
3,2,94.520614
3,3,94.520614
3,4,94.520614
3,5,60.094065
3,6,62.545349
4,1,94.520614
4,2,94.520614
4,3,94.520614
4,4,94.520614
4,5,49.720445
4,6,43.541782
5,1,94.520614
5,2,94.520614
5,3,94.520614
5,4,94.520614
5,5,36.458166
5,6,24.522988
6,1,94.520614
6,2,94.520614
6,3,94.520614
6,4,94.520614
6,5,22.970978
6,6,9.452061
7,1,94.520614
7,2,94.520614
7,3,94.520614
7,4,94.520614
7,5,22.888486
7,6,9.452061
8,1,94.520614
8,2,94.520614
8,3,94.520614
8,4,94.520614
8,5,31.019119
8,6,17.075992
9,1,94.520614
9,2,94.520614
9,3,94.520614
9,4,94.520614
9,5,39.149752
9,6,23.745751
10,1,94.520614
10,2,94.520614
10,3,94.520614
10,4,94.520614
10,5,47.280385
10,6,29.336158
11,1,94.520614
11,2,94.520614
11,3,94.520614
11,4,94.520614
11,5,51.411798
11,6,32.728041
12,1,94.520614
12,2,94.520614
12,3,94.520614
12,4,94.520614
12,5,52.094015
12,6,34.484698
13,1,94.520614
13,2,94.520614
13,3,94.520614
13,4,94.520614
13,5,52.415844
13,6,35.655645
14,1,94.520614
14,2,94.520614
14,3,94.520614
14,4,94.520614
14,5,52.750411
14,6,36.812566
15,1,94.520614
15,2,94.520614
15,3,94.520614
15,4,94.520614
15,5,54.952770
15,6,38.538589
16,1,94.520614
16,2,94.520614
16,3,94.520614
16,4,94.520614
16,5,59.960056
16,6,42.694779
17,1,94.520614
17,2,94.520614
17,3,94.520614
17,4,94.520614
17,5,66.222426
17,6,48.531117
18,1,94.520614
18,2,94.520614
18,3,94.520614
18,4,94.520614
18,5,70.864430
18,6,56.360072
19,1,94.520614
19,2,94.520614
19,3,94.520614
19,4,94.520614
19,5,74.394846
19,6,64.490705
20,1,94.520614
20,2,94.520614
20,3,94.520614
20,4,94.520614
20,5,74.777793
20,6,72.621338
21,1,94.520614
21,2,94.520614
21,3,94.520614
21,4,94.520614
21,5,76.447599
21,6,80.751971
22,1,94.520614
22,2,94.520614
22,3,94.520614
22,4,94.520614
22,5,81.607568
22,6,87.827972
23,1,94.520614
23,2,94.520614
23,3,94.520614
23,4,94.520614
23,5,88.471103
23,6,91.950227
24,1,94.520614
24,2,94.520614
24,3,94.520614
24,4,94.520614
24,5,94.520614
24,6,94.520614
